Gene	Gene name
ENSMUSG00000011877	Git1
ENSMUSG00000079941	Gm11273
ENSMUSG00000051255	Gm6563
ENSMUSG00000028869	Gnl2
ENSMUSG00000031672	Got2
ENSMUSG00000028069	Gpatch4
ENSMUSG00000005823	Gpr108
ENSMUSG00000002658	Gtf2f1
ENSMUSG00000029387	Gtf2h3
ENSMUSG00000026816	Gtf3c5
ENSMUSG00000090523	Gypc
ENSMUSG00000035376	Hacd2
ENSMUSG00000078249	Hmga1-rs1
ENSMUSG00000003038	Hmgn2
ENSMUSG00000004070	Hmox2
ENSMUSG00000042328	Hps4
ENSMUSG00000027195	Hsd17b12
ENSMUSG00000032932	Hspa13
ENSMUSG00000010358	Ifi35
ENSMUSG00000007987	Ift22
ENSMUSG00000002031	Ift46
ENSMUSG00000068758	Il3ra
ENSMUSG00000066324	Impad1
ENSMUSG00000003500	Impdh1
ENSMUSG00000030034	Ino80b
ENSMUSG00000027933	Ints3
ENSMUSG00000071652	Ints5
ENSMUSG00000059883	Irak4
ENSMUSG00000021241	Isca2
ENSMUSG00000031805	Jak3
ENSMUSG00000056962	Jmjd6
ENSMUSG00000025736	Jmjd8
ENSMUSG00000020918	Kat2a
ENSMUSG00000003308	Keap1
ENSMUSG00000010021	Kif19a
ENSMUSG00000070923	Klhl9
ENSMUSG00000049327	Kmt5a
ENSMUSG00000030980	Knop1
ENSMUSG00000053012	Krcc1
ENSMUSG00000073775	Kti12
ENSMUSG00000038302	Lace1
ENSMUSG00000025937	Lactb2
ENSMUSG00000039682	Lap3
ENSMUSG00000037669	Ldah
ENSMUSG00000044857	Lemd2
ENSMUSG00000042487	Leo1
ENSMUSG00000020224	Llph
ENSMUSG00000021484	Lman2
ENSMUSG00000041168	Lonp1
ENSMUSG00000022175	Lrp10
ENSMUSG00000063052	Lrrc40
ENSMUSG00000029028	Lrrc47
ENSMUSG00000046417	Lrrc75a
ENSMUSG00000022538	Lsg1
ENSMUSG00000050188	Lsm10
ENSMUSG00000007050	Lsm2
ENSMUSG00000067367	Lyar
ENSMUSG00000029554	Mad1l1
ENSMUSG00000029003	Mad2l2
ENSMUSG00000058444	Map2k5
ENSMUSG00000001034	Mapk7
ENSMUSG00000040354	Mars
ENSMUSG00000037523	Mavs
ENSMUSG00000002968	Med25
ENSMUSG00000021891	Mettl6
ENSMUSG00000028709	Mob3c
ENSMUSG00000031422	Morf4l2
ENSMUSG00000037221	Mospd3
ENSMUSG00000032306	Mpi
ENSMUSG00000002767	Mrpl2
ENSMUSG00000028622	Mrpl37
ENSMUSG00000020775	Mrpl38
ENSMUSG00000022889	Mrpl39
ENSMUSG00000022706	Mrpl40
ENSMUSG00000023967	Mrps18a
ENSMUSG00000024436	Mrps18b
ENSMUSG00000035772	Mrps2
ENSMUSG00000032459	Mrps22
ENSMUSG00000060679	Mrps9
ENSMUSG00000040675	Mthfd1l
ENSMUSG00000024906	Mus81
ENSMUSG00000002728	Naa20
ENSMUSG00000005982	Naa60
ENSMUSG00000025402	Nab2
ENSMUSG00000026107	Nabp1
ENSMUSG00000025374	Nabp2
ENSMUSG00000079334	Nat6
ENSMUSG00000015542	Nat9
ENSMUSG00000028224	Nbn
ENSMUSG00000022678	Nde1
ENSMUSG00000026895	Ndufa8
ENSMUSG00000026032	Ndufb3
ENSMUSG00000038615	Nfe2l1
ENSMUSG00000042419	Nfkbil1
ENSMUSG00000020248	Nfyb
ENSMUSG00000025453	Nnt
ENSMUSG00000033294	Noc4l
ENSMUSG00000061458	Nol10
ENSMUSG00000028430	Nol6
ENSMUSG00000036693	Nop14
ENSMUSG00000038279	Nop2
ENSMUSG00000075000	Nrbf2
ENSMUSG00000039183	Nubp2
ENSMUSG00000028851	Nudc
ENSMUSG00000022009	Nufip1
ENSMUSG00000023068	Nus1
ENSMUSG00000020844	Nxn
ENSMUSG00000026790	Odf2
ENSMUSG00000027108	Ola1
ENSMUSG00000035399	Oser1
ENSMUSG00000024767	Otub1
ENSMUSG00000019916	P4ha1
ENSMUSG00000003437	Paf1
ENSMUSG00000020092	Pald1
ENSMUSG00000034575	Papd7
ENSMUSG00000023249	Parp3
ENSMUSG00000022439	Parvg
ENSMUSG00000035382	Pcsk7
ENSMUSG00000032504	Pdcd6ip
ENSMUSG00000015668	Pdzd11
ENSMUSG00000042275	Pelo
ENSMUSG00000020430	Pes1
ENSMUSG00000020283	Pex13
ENSMUSG00000023883	Phf10
ENSMUSG00000038383	Pigu
ENSMUSG00000031834	Pik3r2
ENSMUSG00000079480	Pin4
ENSMUSG00000021958	Pinx1
ENSMUSG00000050017	Pitpnb
ENSMUSG00000019876	Pkib
ENSMUSG00000026991	Pkp4
ENSMUSG00000042632	Pla2g6
ENSMUSG00000028577	Plaa
ENSMUSG00000003363	Pld3
ENSMUSG00000028917	Plekhm2
ENSMUSG00000031146	Plp2
ENSMUSG00000019461	Plscr3
ENSMUSG00000027952	Pmvk
ENSMUSG00000030726	Pold3
ENSMUSG00000029250	Polr2b
ENSMUSG00000034126	Pomt2
ENSMUSG00000004100	Ppan
ENSMUSG00000027804	Ppid
ENSMUSG00000029147	Ppm1g
ENSMUSG00000041769	Ppp2r2d
ENSMUSG00000031149	Praf2
ENSMUSG00000004895	Prcc
ENSMUSG00000023110	Prmt5
ENSMUSG00000061136	Prpf40a
ENSMUSG00000024594	Prrc1
ENSMUSG00000028837	Psmb2
ENSMUSG00000021832	Psmc6
ENSMUSG00000017221	Psmd3
ENSMUSG00000039067	Psmd7
ENSMUSG00000022913	Psmg1
ENSMUSG00000024539	Ptpn2
ENSMUSG00000025184	R3hcc1l
ENSMUSG00000024870	Rab1b
ENSMUSG00000079316	Rab9
ENSMUSG00000025340	Rabgef1
ENSMUSG00000026821	Ralgds
ENSMUSG00000036894	Rap2b
ENSMUSG00000018848	Rars
ENSMUSG00000028292	Rars2
ENSMUSG00000006456	Rbm14
ENSMUSG00000036249	Rbm43
ENSMUSG00000037070	Rbmxl1
ENSMUSG00000032320	Rcn2
ENSMUSG00000033589	Reep4
ENSMUSG00000021428	Riok1
ENSMUSG00000070730	Rmdn3
ENSMUSG00000020630	Rnaseh1
ENSMUSG00000035890	Rnf126
ENSMUSG00000052949	Rnf157
ENSMUSG00000020448	Rnf185
ENSMUSG00000034681	Rnps1
ENSMUSG00000018040	Rrp7a
ENSMUSG00000005846	Rsl1d1
ENSMUSG00000041263	Rusc1
ENSMUSG00000031568	Rwdd4a
ENSMUSG00000079003	Samd1
ENSMUSG00000020755	Sap30bp
ENSMUSG00000038406	Scaf1
ENSMUSG00000020952	Scfd1
ENSMUSG00000026504	Sdccag8
ENSMUSG00000020823	Sec14l1
ENSMUSG00000020211	Sf3a2
ENSMUSG00000068856	Sf3b4
ENSMUSG00000004937	Sgta
ENSMUSG00000089832	Shkbp1
ENSMUSG00000034748	Sirt6
ENSMUSG00000032806	Slc10a3
ENSMUSG00000020873	Slc35b1
ENSMUSG00000079020	Slc45a4
ENSMUSG00000022560	Slc52a2
ENSMUSG00000020733	Slc9a3r1
ENSMUSG00000016257	Slmo2
ENSMUSG00000021645	Smn1
ENSMUSG00000021113	Snapc1
ENSMUSG00000011837	Snapc2
ENSMUSG00000032398	Snapc5
ENSMUSG00000020180	Snrpd3
ENSMUSG00000020018	Snrpf
ENSMUSG00000021039	Snw1
ENSMUSG00000031993	Snx19
ENSMUSG00000018287	Spag7
ENSMUSG00000057342	Sphk2
ENSMUSG00000029233	Srd5a3
ENSMUSG00000079108	Srp54b
ENSMUSG00000020780	Srp68
ENSMUSG00000028911	Srsf4
ENSMUSG00000079442	St6galnac4
ENSMUSG00000026811	St6galnac6
ENSMUSG00000024966	Stip1
ENSMUSG00000026797	Stxbp1
ENSMUSG00000002052	Supt6
ENSMUSG00000020079	Supv3l1
ENSMUSG00000040842	Szrd1
ENSMUSG00000028899	Taf12
ENSMUSG00000003680	Taf6l
ENSMUSG00000013539	Tango2
ENSMUSG00000020115	Tbk1
ENSMUSG00000028619	Tceanc2
ENSMUSG00000034674	Tdg
ENSMUSG00000040548	Tex2
ENSMUSG00000026279	Thap4
ENSMUSG00000024287	Thoc1
ENSMUSG00000041319	Thoc6
ENSMUSG00000046688	Tifa
ENSMUSG00000038028	Tigar
ENSMUSG00000002846	Timmdc1
ENSMUSG00000007589	Tinf2
ENSMUSG00000012296	Tjap1
ENSMUSG00000073139	Tmem185a
ENSMUSG00000025521	Tmem192
ENSMUSG00000037278	Tmem97
ENSMUSG00000009563	Tor2a
ENSMUSG00000021711	Trappc13
ENSMUSG00000032386	Trip4
ENSMUSG00000038260	Trpm4
ENSMUSG00000025474	Tubgcp2
ENSMUSG00000071645	Tut1
ENSMUSG00000053841	Txlna
ENSMUSG00000020250	Txnrd1
ENSMUSG00000032175	Tyk2
ENSMUSG00000061613	U2af1
ENSMUSG00000009293	Ube2g2
ENSMUSG00000029203	Ube2k
ENSMUSG00000001891	Ugp2
ENSMUSG00000030533	Unc45a
ENSMUSG00000038398	Upf3a
ENSMUSG00000056305	Usp39
ENSMUSG00000063785	Utp14a
ENSMUSG00000024962	Vegfb
ENSMUSG00000029434	Vps33a
ENSMUSG00000015747	Vps45
ENSMUSG00000064090	Vrk2
ENSMUSG00000042712	Wbp5
ENSMUSG00000026917	Wdr5
ENSMUSG00000025995	Wdr75
ENSMUSG00000024875	Yif1a
ENSMUSG00000002741	Ykt6
ENSMUSG00000006215	Zbtb17
ENSMUSG00000049600	Zbtb45
ENSMUSG00000057572	Zbtb8os
ENSMUSG00000039810	Zc3h10
ENSMUSG00000017478	Zc3h18
ENSMUSG00000030471	Zdhhc13
ENSMUSG00000025786	Zdhhc3
ENSMUSG00000034075	Zdhhc5
ENSMUSG00000024982	Zdhhc6
ENSMUSG00000031823	Zdhhc7
ENSMUSG00000053581	Zfand2a
ENSMUSG00000068551	Zfp467
ENSMUSG00000001383	Zmat2
ENSMUSG00000032264	Zw10
ENSMUSG00000087651	1500009L16Rik
ENSMUSG00000049916	2610318N02Rik
ENSMUSG00000040204	2810417H13Rik
ENSMUSG00000037466	4930427A07Rik
ENSMUSG00000027811	4930579G24Rik
ENSMUSG00000089844	A530032D15Rik
ENSMUSG00000029722	Agfg2
ENSMUSG00000035704	Alg8
ENSMUSG00000063810	Alms1
ENSMUSG00000028766	Alpl
ENSMUSG00000046295	Ankle1
ENSMUSG00000036777	Anln
ENSMUSG00000073705	Apitd1
ENSMUSG00000040694	Apobec2
ENSMUSG00000041219	Arhgap11a
ENSMUSG00000025154	Arhgap19
ENSMUSG00000063506	Arhgap22
ENSMUSG00000051517	Arhgef39
ENSMUSG00000005470	Asf1b
ENSMUSG00000033952	Aspm
ENSMUSG00000076441	Ass1
ENSMUSG00000022360	Atad2
ENSMUSG00000017550	Atad5
ENSMUSG00000078521	Aunip
ENSMUSG00000027496	Aurka
ENSMUSG00000020897	Aurkb
ENSMUSG00000026196	Bard1
ENSMUSG00000034773	BC030867
ENSMUSG00000041406	BC055324
ENSMUSG00000030200	Bcl2l14
ENSMUSG00000017716	Birc5
ENSMUSG00000030528	Blm
ENSMUSG00000022070	Bora
ENSMUSG00000017146	Brca1
ENSMUSG00000041147	Brca2
ENSMUSG00000034329	Brip1
ENSMUSG00000027379	Bub1
ENSMUSG00000040084	Bub1b
ENSMUSG00000052477	C130026I21Rik
ENSMUSG00000033031	C330027C09Rik
ENSMUSG00000013629	Cad
ENSMUSG00000027184	Caprin1
ENSMUSG00000031373	Car5b
ENSMUSG00000027326	Casc5
ENSMUSG00000025577	Cbx2
ENSMUSG00000009575	Cbx5
ENSMUSG00000027160	Ccdc34
ENSMUSG00000040312	Cchcr1
ENSMUSG00000027715	Ccna2
ENSMUSG00000041431	Ccnb1
ENSMUSG00000032218	Ccnb2
ENSMUSG00000000184	Ccnd2
ENSMUSG00000002068	Ccne1
ENSMUSG00000028212	Ccne2
ENSMUSG00000072082	Ccnf
ENSMUSG00000015355	Cd48
ENSMUSG00000006398	Cdc20
ENSMUSG00000032477	Cdc25a
ENSMUSG00000044201	Cdc25c
ENSMUSG00000000028	Cdc45
ENSMUSG00000017499	Cdc6
ENSMUSG00000048922	Cdca2
ENSMUSG00000023505	Cdca3
ENSMUSG00000024791	Cdca5
ENSMUSG00000055612	Cdca7
ENSMUSG00000021175	Cdca7l
ENSMUSG00000028873	Cdca8
ENSMUSG00000019942	Cdk1
ENSMUSG00000006728	Cdk4
ENSMUSG00000028551	Cdkn2c
ENSMUSG00000037628	Cdkn3
ENSMUSG00000006585	Cdt1
ENSMUSG00000029177	Cenpa
ENSMUSG00000045328	Cenpe
ENSMUSG00000026605	Cenpf
ENSMUSG00000045273	Cenph
ENSMUSG00000031262	Cenpi
ENSMUSG00000021714	Cenpk
ENSMUSG00000026708	Cenpl
ENSMUSG00000068101	Cenpm
ENSMUSG00000031756	Cenpn
ENSMUSG00000021391	Cenpp
ENSMUSG00000036672	Cenpt
ENSMUSG00000075266	Cenpw
ENSMUSG00000024989	Cep55
ENSMUSG00000002835	Chaf1a
ENSMUSG00000022945	Chaf1b
ENSMUSG00000030086	Chchd6
ENSMUSG00000032113	Chek1
ENSMUSG00000029521	Chek2
ENSMUSG00000019214	Chtf18
ENSMUSG00000032578	Cish
ENSMUSG00000029516	Cit
ENSMUSG00000037725	Ckap2
ENSMUSG00000048327	Ckap2l
ENSMUSG00000040549	Ckap5
ENSMUSG00000028044	Cks1b
ENSMUSG00000062248	Cks2
ENSMUSG00000074491	Clec4g
ENSMUSG00000042489	Clspn
ENSMUSG00000031896	Ctrl
ENSMUSG00000002297	Dbf4
ENSMUSG00000031562	Dctd
ENSMUSG00000042462	Dctpp1
ENSMUSG00000030641	Ddias
ENSMUSG00000021377	Dek
ENSMUSG00000028175	Depdc1a
ENSMUSG00000021697	Depdc1b
ENSMUSG00000034731	Dgkh
ENSMUSG00000021707	Dhfr
ENSMUSG00000037544	Dlgap5
ENSMUSG00000036875	Dna2
ENSMUSG00000004099	Dnmt1
ENSMUSG00000040658	Dnph1
ENSMUSG00000022422	Dscc1
ENSMUSG00000027635	Dsn1
ENSMUSG00000037474	Dtl
ENSMUSG00000027203	Dut
ENSMUSG00000043439	E130012A19Rik
ENSMUSG00000027490	E2f1
ENSMUSG00000020185	E2f7
ENSMUSG00000046179	E2f8
ENSMUSG00000057530	Ece1
ENSMUSG00000027699	Ect2
ENSMUSG00000039055	Eme1
ENSMUSG00000013155	Enkd1
ENSMUSG00000051220	Ercc6l
ENSMUSG00000031527	Eri1
ENSMUSG00000058290	Espl1
ENSMUSG00000025366	Esyt1
ENSMUSG00000034282	Evpl
ENSMUSG00000039748	Exo1
ENSMUSG00000029687	Ezh2
ENSMUSG00000020808	Fam64a
ENSMUSG00000055184	Fam72a
ENSMUSG00000027654	Fam83d
ENSMUSG00000028218	Fam92a
ENSMUSG00000032815	Fanca
ENSMUSG00000034023	Fancd2
ENSMUSG00000039187	Fanci
ENSMUSG00000019773	Fbxo5
ENSMUSG00000021273	Fdft1
ENSMUSG00000024742	Fen1
ENSMUSG00000035455	Fignl1
ENSMUSG00000001517	Foxm1
ENSMUSG00000029581	Fscn1
ENSMUSG00000059363	Fxn
ENSMUSG00000028671	Gale
ENSMUSG00000074802	Gas2l3
ENSMUSG00000028268	Gbp3
ENSMUSG00000040253	Gbp7
ENSMUSG00000006378	Gcat
ENSMUSG00000028214	Gem
ENSMUSG00000051235	Gen1
ENSMUSG00000027454	Gins1
ENSMUSG00000031821	Gins2
ENSMUSG00000070713	Gm10282
ENSMUSG00000078502	Gm13212
ENSMUSG00000046687	Gm5424
ENSMUSG00000006715	Gmnn
ENSMUSG00000027883	Gpsm2
ENSMUSG00000050107	Gsg2
ENSMUSG00000033318	Gstt2
ENSMUSG00000001524	Gtf2h4
ENSMUSG00000022385	Gtse1
ENSMUSG00000041126	H2afv
ENSMUSG00000049932	H2afx
ENSMUSG00000022177	Haus4
ENSMUSG00000020331	Hcn2
ENSMUSG00000025001	Hells
ENSMUSG00000042606	Hirip3
ENSMUSG00000046711	Hmga1
ENSMUSG00000054717	Hmgb2
ENSMUSG00000015217	Hmgb3
ENSMUSG00000031245	Hmgn5
ENSMUSG00000020330	Hmmr
ENSMUSG00000046434	Hnrnpa1
ENSMUSG00000020358	Hnrnpab
ENSMUSG00000056999	Ide
ENSMUSG00000058258	Idi1
ENSMUSG00000026069	Il1rl1
ENSMUSG00000026770	Il2ra
ENSMUSG00000024525	Impa2
ENSMUSG00000024660	Incenp
ENSMUSG00000028068	Iqgap3
ENSMUSG00000031787	Katnb1
ENSMUSG00000028931	Kcnab2
ENSMUSG00000054342	Kcnn4
ENSMUSG00000012443	Kif11
ENSMUSG00000041498	Kif14
ENSMUSG00000036768	Kif15
ENSMUSG00000027115	Kif18a
ENSMUSG00000051378	Kif18b
ENSMUSG00000003779	Kif20a
ENSMUSG00000024795	Kif20b
ENSMUSG00000030677	Kif22
ENSMUSG00000032254	Kif23
ENSMUSG00000028438	Kif24
ENSMUSG00000028678	Kif2c
ENSMUSG00000034311	Kif4
ENSMUSG00000079553	Kifc1
ENSMUSG00000027331	Knstrn
ENSMUSG00000029414	Kntc1
ENSMUSG00000018362	Kpna2
ENSMUSG00000068220	Lgals1
ENSMUSG00000056394	Lig1
ENSMUSG00000022614	Lmf2
ENSMUSG00000024590	Lmnb1
ENSMUSG00000062075	Lmnb2
ENSMUSG00000034883	Lrr1
ENSMUSG00000029910	Mad2l1
ENSMUSG00000026779	Mastl
ENSMUSG00000026669	Mcm10
ENSMUSG00000002870	Mcm2
ENSMUSG00000041859	Mcm3
ENSMUSG00000022673	Mcm4
ENSMUSG00000005410	Mcm5
ENSMUSG00000026355	Mcm6
ENSMUSG00000029730	Mcm7
ENSMUSG00000027353	Mcm8
ENSMUSG00000035683	Melk
ENSMUSG00000028655	Mfsd2a
ENSMUSG00000047534	Mis18bp1
ENSMUSG00000031004	Mki67
ENSMUSG00000045751	Mms22l
ENSMUSG00000039395	Mreg
ENSMUSG00000019992	Mtfr2
ENSMUSG00000021048	Mthfd1
ENSMUSG00000035638	Muc20
ENSMUSG00000021485	Mxd3
ENSMUSG00000017861	Mybl2
ENSMUSG00000028693	Nasp
ENSMUSG00000038252	Ncapd2
ENSMUSG00000015880	Ncapg
ENSMUSG00000042029	Ncapg2
ENSMUSG00000034906	Ncaph
ENSMUSG00000008690	Ncaph2
ENSMUSG00000026234	Ncl
ENSMUSG00000028614	Ndc1
ENSMUSG00000024056	Ndc80
ENSMUSG00000039396	Neil3
ENSMUSG00000026622	Nek2
ENSMUSG00000034413	Neurl1b
ENSMUSG00000063445	Nmral1
ENSMUSG00000031311	Nono
ENSMUSG00000062510	Nsl1
ENSMUSG00000026434	Nucks1
ENSMUSG00000036639	Nudt1
ENSMUSG00000026683	Nuf2
ENSMUSG00000035351	Nup37
ENSMUSG00000109511	Nup62
ENSMUSG00000071497	Nutf2-ps1
ENSMUSG00000072980	Oip5
ENSMUSG00000028587	Orc1
ENSMUSG00000031697	Orc6
ENSMUSG00000022186	Oxct1
ENSMUSG00000023909	Paqr4
ENSMUSG00000035365	Parpbp
ENSMUSG00000026274	Pask
ENSMUSG00000022033	Pbk
ENSMUSG00000023495	Pcbp4
ENSMUSG00000027342	Pcna
ENSMUSG00000024579	Pcyox1l
ENSMUSG00000026873	Phf19
ENSMUSG00000053398	Phgdh
ENSMUSG00000025507	Pidd1
ENSMUSG00000041064	Pif1
ENSMUSG00000031155	Pim2
ENSMUSG00000023908	Pkmyt1
ENSMUSG00000030867	Plk1
ENSMUSG00000025758	Plk4
ENSMUSG00000028066	Pmf1
ENSMUSG00000023345	Poc1a
ENSMUSG00000006678	Pola1
ENSMUSG00000020471	Pold2
ENSMUSG00000007080	Pole
ENSMUSG00000020974	Pole2
ENSMUSG00000023953	Polh
ENSMUSG00000034206	Polq
ENSMUSG00000060288	Ppih
ENSMUSG00000024007	Ppil1
ENSMUSG00000038943	Prc1
ENSMUSG00000025395	Prim1
ENSMUSG00000026134	Prim2
ENSMUSG00000020493	Prr11
ENSMUSG00000024640	Psat1
ENSMUSG00000019303	Psmc3ip
ENSMUSG00000068744	Psrc1
ENSMUSG00000026238	Ptma
ENSMUSG00000030122	Ptms
ENSMUSG00000031506	Ptpn7
ENSMUSG00000023015	Racgap1
ENSMUSG00000027323	Rad51
ENSMUSG00000030346	Rad51ap1
ENSMUSG00000078773	Rad54b
ENSMUSG00000028702	Rad54l
ENSMUSG00000031353	Rbbp7
ENSMUSG00000028896	Rcc1
ENSMUSG00000024968	Rcor2
ENSMUSG00000033762	Recql4
ENSMUSG00000033970	Rfc3
ENSMUSG00000022881	Rfc4
ENSMUSG00000029363	Rfc5
ENSMUSG00000037991	Rmi2
ENSMUSG00000021932	Rnaseh2b
ENSMUSG00000094724	Rnaset2b
ENSMUSG00000053128	Rnf26
ENSMUSG00000028884	Rpa2
ENSMUSG00000030978	Rrm1
ENSMUSG00000020649	Rrm2
ENSMUSG00000024790	Sac3d1
ENSMUSG00000052833	Sae1
ENSMUSG00000026955	Sapcd2
ENSMUSG00000027959	Sass6
ENSMUSG00000025203	Scd2
ENSMUSG00000070304	Scn2b
ENSMUSG00000038264	Sema7a
ENSMUSG00000002129	Sf3a1
ENSMUSG00000023940	Sgol1
ENSMUSG00000026039	Sgol2a
ENSMUSG00000022322	Shcbp1
ENSMUSG00000020534	Shmt1
ENSMUSG00000025403	Shmt2
ENSMUSG00000036223	Ska1
ENSMUSG00000020492	Ska2
ENSMUSG00000021965	Ska3
ENSMUSG00000054115	Skp2
ENSMUSG00000004642	Slbp
ENSMUSG00000031633	Slc25a4
ENSMUSG00000023942	Slc29a1
ENSMUSG00000023032	Slc4a8
ENSMUSG00000032187	Smarca4
ENSMUSG00000041133	Smc1a
ENSMUSG00000028312	Smc2
ENSMUSG00000038037	Socs1
ENSMUSG00000070031	Sp140
ENSMUSG00000002055	Spag5
ENSMUSG00000074476	Spc24
ENSMUSG00000005233	Spc25
ENSMUSG00000069910	Spdl1
ENSMUSG00000022351	Sqle
ENSMUSG00000030257	Srgap3
ENSMUSG00000027067	Ssrp1
ENSMUSG00000036928	Stag3
ENSMUSG00000028718	Stil
ENSMUSG00000028832	Stmn1
ENSMUSG00000003271	Sult2b1
ENSMUSG00000039231	Suv39h1
ENSMUSG00000026646	Suv39h2
ENSMUSG00000003824	Syce2
ENSMUSG00000037313	Tacc3
ENSMUSG00000022364	Tbc1d31
ENSMUSG00000050410	Tcf19
ENSMUSG00000021177	Tdp1
ENSMUSG00000038482	Tfdp1
ENSMUSG00000011254	Thg1l
ENSMUSG00000046591	Ticrr
ENSMUSG00000039994	Timeless
ENSMUSG00000032397	Tipin
ENSMUSG00000025574	Tk1
ENSMUSG00000041143	Tmco4
ENSMUSG00000019961	Tmpo
ENSMUSG00000020914	Top2a
ENSMUSG00000032555	Topbp1
ENSMUSG00000027469	Tpx2
ENSMUSG00000018548	Trim37
ENSMUSG00000021569	Trip13
ENSMUSG00000032783	Troap
ENSMUSG00000033222	Ttf2
ENSMUSG00000038379	Ttk
ENSMUSG00000016757	Ttll12
ENSMUSG00000023004	Tuba1b
ENSMUSG00000045136	Tubb2b
ENSMUSG00000001525	Tubb5
ENSMUSG00000019845	Tube1
ENSMUSG00000035198	Tubg1
ENSMUSG00000025747	Tyms
ENSMUSG00000026429	Ube2t
ENSMUSG00000026558	Uck2
ENSMUSG00000001228	Uhrf1
ENSMUSG00000079685	Ulbp1
ENSMUSG00000029591	Ung
ENSMUSG00000028560	Usp1
ENSMUSG00000037572	Wdhd1
ENSMUSG00000027242	Wdr76
ENSMUSG00000073434	Wdr90
ENSMUSG00000057406	Whsc1
ENSMUSG00000022471	Xrcc6
ENSMUSG00000076432	Ywhaq
ENSMUSG00000039470	Zdhhc2
ENSMUSG00000028403	Zdhhc21
ENSMUSG00000044934	Zfp367
ENSMUSG00000051278	Zgrf1
ENSMUSG00000026974	Zmynd19
ENSMUSG00000032400	Zwilch
ENSMUSG00000095620	2010005H15Rik
ENSMUSG00000029580	Actb
ENSMUSG00000062825	Actg1
ENSMUSG00000022220	Adcy4
ENSMUSG00000024397	Aif1
ENSMUSG00000030695	Aldoa
ENSMUSG00000036820	Amdhd2
ENSMUSG00000034107	Ano7
ENSMUSG00000018340	Anxa6
ENSMUSG00000025132	Arhgdia
ENSMUSG00000030220	Arhgdib
ENSMUSG00000029622	Arpc1b
ENSMUSG00000016541	Atxn10
ENSMUSG00000057789	Bak1
ENSMUSG00000039699	Batf2
ENSMUSG00000046718	Bst2
ENSMUSG00000028745	Capzb
ENSMUSG00000025887	Casp12
ENSMUSG00000033538	Casp4
ENSMUSG00000007721	Ccdc124
ENSMUSG00000018930	Ccl4
ENSMUSG00000079227	Ccr5
ENSMUSG00000062082	Cd200r4
ENSMUSG00000019471	Cdc37
ENSMUSG00000045031	Cetn4
ENSMUSG00000056201	Cfl1
ENSMUSG00000033916	Chmp2a
ENSMUSG00000028478	Clta
ENSMUSG00000024835	Coro1b
ENSMUSG00000029343	Crybb1
ENSMUSG00000024387	Csnk2b
ENSMUSG00000034855	Cxcl10
ENSMUSG00000018008	Cyth4
ENSMUSG00000020476	Dbnl
ENSMUSG00000055809	Dnaaf3
ENSMUSG00000022013	Dnajc15
ENSMUSG00000043067	Dpy19l1
ENSMUSG00000022191	Drosha
ENSMUSG00000014859	E2f4
ENSMUSG00000023961	Enpp4
ENSMUSG00000090942	F830016B08Rik
ENSMUSG00000031879	Fam96b
ENSMUSG00000037816	Fbxw17
ENSMUSG00000021453	Gadd45g
ENSMUSG00000028270	Gbp2
ENSMUSG00000105504	Gbp5
ENSMUSG00000078606	Gm4070
ENSMUSG00000068606	Gm4841
ENSMUSG00000069379	Gm4950
ENSMUSG00000073555	Gm4951
ENSMUSG00000033036	Gm7879
ENSMUSG00000022575	Gsdmd
ENSMUSG00000035439	Haus8
ENSMUSG00000003283	Hck
ENSMUSG00000022831	Hcls1
ENSMUSG00000059325	Hopx
ENSMUSG00000029657	Hsph1
ENSMUSG00000037405	Icam1
ENSMUSG00000031551	Ido1
ENSMUSG00000079017	Ifi27l2a
ENSMUSG00000016529	Il10
ENSMUSG00000030689	Ino80e
ENSMUSG00000050957	Insl6
ENSMUSG00000057963	Itpk1
ENSMUSG00000033287	Kctd17
ENSMUSG00000037331	Larp1
ENSMUSG00000053522	Lgals7
ENSMUSG00000075602	Ly6a
ENSMUSG00000022587	Ly6e
ENSMUSG00000002768	Mea1
ENSMUSG00000030120	Mlf2
ENSMUSG00000012519	Mlkl
ENSMUSG00000026536	Mnda
ENSMUSG00000024681	Ms4a3
ENSMUSG00000001910	Nacc1
ENSMUSG00000020572	Nampt
ENSMUSG00000071715	Ncf4
ENSMUSG00000024038	Ndufv3
ENSMUSG00000030595	Nfkbib
ENSMUSG00000026946	Nmi
ENSMUSG00000020936	Nmt1
ENSMUSG00000015176	Nolc1
ENSMUSG00000052776	Oas1a
ENSMUSG00000066861	Oas1g
ENSMUSG00000020456	Ogdh
ENSMUSG00000035863	Palm
ENSMUSG00000022906	Parp9
ENSMUSG00000029623	Pdap1
ENSMUSG00000021196	Pfkp
ENSMUSG00000018293	Pfn1
ENSMUSG00000044703	Phf11a
ENSMUSG00000091649	Phf11b
ENSMUSG00000029322	Plac8
ENSMUSG00000014782	Plekhg4
ENSMUSG00000039771	Polr2j
ENSMUSG00000040385	Ppp1ca
ENSMUSG00000059409	Ppp2r5d
ENSMUSG00000021486	Prelid1
ENSMUSG00000027611	Procr
ENSMUSG00000031897	Psmb10
ENSMUSG00000024338	Psmb8
ENSMUSG00000096727	Psmb9
ENSMUSG00000022216	Psme1
ENSMUSG00000079197	Psme2
ENSMUSG00000078153	Psme2b
ENSMUSG00000109713	PVRIG
ENSMUSG00000060260	Pwwp2b
