Gene,Gene name,Module,Type,
ENSMUSG00000026088,Mitd1,L7,TYPE_I,TYPE_II
ENSMUSG00000012519,Mlkl,L7,TYPE_I,TYPE_II
ENSMUSG00000026536,Mnda,L7,TYPE_I,TYPE_II
ENSMUSG00000002227,Mov10,L7,TYPE_I,TYPE_II
ENSMUSG00000046805,Mpeg1,L7,TYPE_I,TYPE_II
ENSMUSG00000024678,Ms4a4d,L7,TYPE_I,
ENSMUSG00000005667,Mthfd2,L7,TYPE_I,TYPE_II
ENSMUSG00000024300,Myo1f,L7,TYPE_I,TYPE_II
ENSMUSG00000056724,Nbeal2,L7,TYPE_I,
ENSMUSG00000005397,Nid1,L7,TYPE_I,
ENSMUSG00000039193,Nlrc4,L7,,TYPE_II
ENSMUSG00000074151,Nlrc5,L7,TYPE_I,TYPE_II
ENSMUSG00000069830,Nlrp1a,L7,,
ENSMUSG00000026946,Nmi,L7,TYPE_I,TYPE_II
ENSMUSG00000038058,Nod1,L7,TYPE_I,TYPE_II
ENSMUSG00000029780,Nt5c3,L7,TYPE_I,TYPE_II
ENSMUSG00000027939,Nup210l,L7,,
ENSMUSG00000075033,Nxpe3,L7,,TYPE_II
ENSMUSG00000049401,Ogfr,L7,TYPE_I,TYPE_II
ENSMUSG00000040328,Olfr56,L7,TYPE_I,
ENSMUSG00000027071,P2rx3,L7,,
ENSMUSG00000019916,P4ha1,L7,TYPE_I,TYPE_II
ENSMUSG00000063268,Parp10,L7,TYPE_I,TYPE_II
ENSMUSG00000037997,Parp11,L7,TYPE_I,TYPE_II
ENSMUSG00000038507,Parp12,L7,TYPE_I,TYPE_II
ENSMUSG00000034422,Parp14,L7,TYPE_I,TYPE_II
ENSMUSG00000023249,Parp3,L7,TYPE_I,TYPE_II
ENSMUSG00000022906,Parp9,L7,TYPE_I,TYPE_II
ENSMUSG00000091144,Phf11c,L7,TYPE_I,TYPE_II
ENSMUSG00000060675,Pla2g16,L7,TYPE_I,TYPE_II
ENSMUSG00000029322,Plac8,L7,TYPE_I,TYPE_II
ENSMUSG00000031557,Plekha2,L7,TYPE_I,
ENSMUSG00000004846,Plod3,L7,TYPE_I,TYPE_II
ENSMUSG00000046008,Pnlip,L7,,
ENSMUSG00000021871,Pnp,L7,TYPE_I,TYPE_II
ENSMUSG00000030726,Pold3,L7,,
ENSMUSG00000020089,Ppa1,L7,TYPE_I,TYPE_II
ENSMUSG00000029372,Ppbp,L7,TYPE_I,TYPE_II
ENSMUSG00000029410,Ppef2,L7,,
ENSMUSG00000028657,Ppt1,L7,,TYPE_II
ENSMUSG00000022501,Prm1,L7,TYPE_I,TYPE_II
ENSMUSG00000023484,Prph,L7,,
ENSMUSG00000057163,Prss2,L7,,
ENSMUSG00000056399,Prss34,L7,,
ENSMUSG00000068749,Psma5,L7,,
ENSMUSG00000031897,Psmb10,L7,TYPE_I,TYPE_II
ENSMUSG00000024338,Psmb8,L7,TYPE_I,TYPE_II
ENSMUSG00000096727,Psmb9,L7,TYPE_I,TYPE_II
ENSMUSG00000022216,Psme1,L7,TYPE_I,TYPE_II
ENSMUSG00000079197,Psme2,L7,TYPE_I,TYPE_II
ENSMUSG00000078153,Psme2b,L7,,
ENSMUSG00000027641,Rbl1,L7,TYPE_I,TYPE_II
ENSMUSG00000036249,Rbm43,L7,TYPE_I,TYPE_II
ENSMUSG00000051735,Rinl,L7,,
ENSMUSG00000070730,Rmdn3,L7,TYPE_I,TYPE_II
ENSMUSG00000006418,Rnf114,L7,TYPE_I,TYPE_II
ENSMUSG00000047098,Rnf31,L7,TYPE_I,TYPE_II
ENSMUSG00000047735,Samd9l,L7,TYPE_I,TYPE_II
ENSMUSG00000027639,Samhd1,L7,TYPE_I,TYPE_II
ENSMUSG00000026307,Scly,L7,,
ENSMUSG00000070304,Scn2b,L7,,
ENSMUSG00000000278,Scpep1,L7,,
ENSMUSG00000021403,Serpinb9b,L7,,
ENSMUSG00000023224,Serping1,L7,TYPE_I,TYPE_II
ENSMUSG00000071350,Setdb2,L7,TYPE_I,TYPE_II
ENSMUSG00000053318,Slamf8,L7,TYPE_I,TYPE_II
ENSMUSG00000025790,Slco3a1,L7,TYPE_I,TYPE_II
ENSMUSG00000018986,Slfn3,L7,TYPE_I,TYPE_II
ENSMUSG00000054404,Slfn5,L7,TYPE_I,TYPE_II
ENSMUSG00000046699,Slitrk4,L7,,
ENSMUSG00000038037,Socs1,L7,TYPE_I,TYPE_II
ENSMUSG00000070034,Sp110,L7,TYPE_I,TYPE_II
ENSMUSG00000070031,Sp140,L7,TYPE_I,TYPE_II
ENSMUSG00000027366,Sppl2a,L7,TYPE_I,TYPE_II
ENSMUSG00000022403,St13,L7,TYPE_I,
ENSMUSG00000026104,Stat1,L7,TYPE_I,TYPE_II
ENSMUSG00000040033,Stat2,L7,TYPE_I,TYPE_II
ENSMUSG00000024966,Stip1,L7,,
ENSMUSG00000033498,Strc,L7,,
ENSMUSG00000029428,Stx2,L7,TYPE_I,TYPE_II
ENSMUSG00000041831,Sytl3,L7,,
ENSMUSG00000037321,Tap1,L7,TYPE_I,TYPE_II
ENSMUSG00000024339,Tap2,L7,TYPE_I,TYPE_II
ENSMUSG00000024308,Tapbp,L7,TYPE_I,TYPE_II
ENSMUSG00000038213,Tapbpl,L7,TYPE_I,TYPE_II
ENSMUSG00000001750,Tcirg1,L7,TYPE_I,
ENSMUSG00000035517,Tdrd7,L7,TYPE_I,
ENSMUSG00000078922,Tgtp1,L7,,TYPE_II
ENSMUSG00000078921,Tgtp2,L7,TYPE_I,TYPE_II
ENSMUSG00000039994,Timeless,L7,TYPE_I,TYPE_II
ENSMUSG00000051969,Tlr11,L7,,TYPE_II
ENSMUSG00000031639,Tlr3,L7,TYPE_I,TYPE_II
ENSMUSG00000057137,Tmem140,L7,TYPE_I,TYPE_II
ENSMUSG00000052485,Tmem171,L7,TYPE_I,
ENSMUSG00000042333,Tnfrsf14,L7,TYPE_I,TYPE_II
ENSMUSG00000060519,Tor3a,L7,TYPE_I,TYPE_II
ENSMUSG00000029817,Tra2a,L7,TYPE_I,TYPE_II
ENSMUSG00000026875,Traf1,L7,TYPE_I,TYPE_II
ENSMUSG00000042726,Trafd1,L7,TYPE_I,TYPE_II
ENSMUSG00000051682,Treml4,L7,TYPE_I,TYPE_II
ENSMUSG00000066258,Trim12a,L7,TYPE_I,TYPE_II
ENSMUSG00000057143,Trim12c,L7,TYPE_I,TYPE_II
ENSMUSG00000030966,Trim21,L7,TYPE_I,TYPE_II
ENSMUSG00000078616,Trim30c,L7,,
ENSMUSG00000056144,Trim34a,L7,TYPE_I,TYPE_II
ENSMUSG00000033368,Trim69,L7,TYPE_I,
ENSMUSG00000053286,Trmt1l,L7,TYPE_I,
ENSMUSG00000005968,Tuft1,L7,TYPE_I,TYPE_II
ENSMUSG00000050908,Tvp23a,L7,TYPE_I,TYPE_II
ENSMUSG00000032596,Uba7,L7,TYPE_I,TYPE_II
ENSMUSG00000027078,Ube2l6,L7,TYPE_I,TYPE_II
ENSMUSG00000022867,Usp25,L7,TYPE_I,
ENSMUSG00000023186,Vwa5a,L7,TYPE_I,TYPE_II
ENSMUSG00000021266,Wars,L7,TYPE_I,TYPE_II
ENSMUSG00000031583,Wrn,L7,TYPE_I,TYPE_II
ENSMUSG00000026573,Xcl1,L7,TYPE_I,
ENSMUSG00000067942,Zfp160,L7,TYPE_I,
ENSMUSG00000078994,Zfp429,L7,TYPE_I,
ENSMUSG00000039501,Znfx1,L7,TYPE_I,TYPE_II
ENSMUSG00000027637,1110008F13Rik,L8,TYPE_I,
ENSMUSG00000078570,1110065P20Rik,L8,,
ENSMUSG00000073598,1700066B19Rik,L8,,
ENSMUSG00000063458,1700112E06Rik,L8,,
ENSMUSG00000043939,A530064D06Rik,L8,TYPE_I,TYPE_II
ENSMUSG00000033213,AA467197,L8,TYPE_I,TYPE_II
ENSMUSG00000037872,Ackr1,L8,,
ENSMUSG00000029580,Actb,L8,,
ENSMUSG00000020178,Adora2a,L8,,
ENSMUSG00000027597,Ahcy,L8,TYPE_I,TYPE_II
ENSMUSG00000029610,Aimp2,L8,,TYPE_II
ENSMUSG00000036632,Alg5,L8,,
ENSMUSG00000032593,Amigo3,L8,TYPE_I,
ENSMUSG00000042225,Ammecr1,L8,,
ENSMUSG00000030649,Anapc15,L8,,TYPE_II
ENSMUSG00000024803,Ankrd1,L8,TYPE_I,
ENSMUSG00000035960,Apex1,L8,TYPE_I,TYPE_II
ENSMUSG00000021877,Arf4,L8,TYPE_I,
ENSMUSG00000039529,Atp8b1,L8,,
ENSMUSG00000015665,Awat1,L8,,
ENSMUSG00000056124,B4galt6,L8,TYPE_I,TYPE_II
ENSMUSG00000045763,Basp1,L8,TYPE_I,TYPE_II
ENSMUSG00000089929,Bcl2a1b,L8,TYPE_I,TYPE_II
ENSMUSG00000027555,Car13,L8,TYPE_I,
ENSMUSG00000047649,Cd3eap,L8,TYPE_I,TYPE_II
ENSMUSG00000015396,Cd83,L8,TYPE_I,TYPE_II
ENSMUSG00000061048,Cdh3,L8,,
ENSMUSG00000001128,Cfp,L8,TYPE_I,
ENSMUSG00000050370,Ch25h,L8,TYPE_I,TYPE_II
ENSMUSG00000046841,Ckap4,L8,TYPE_I,TYPE_II
ENSMUSG00000032024,Clmp,L8,TYPE_I,
ENSMUSG00000026174,Cnot9,L8,,
ENSMUSG00000024387,Csnk2b,L8,,
ENSMUSG00000005054,Cstb,L8,TYPE_I,TYPE_II
ENSMUSG00000023078,Cxcl13,L8,TYPE_I,
ENSMUSG00000029371,Cxcl5,L8,TYPE_I,
ENSMUSG00000022551,Cyc1,L8,,
ENSMUSG00000039519,Cyp7b1,L8,TYPE_I,
ENSMUSG00000031562,Dctd,L8,,TYPE_II
ENSMUSG00000063904,Dpp3,L8,,
ENSMUSG00000053268,Dspp,L8,,
ENSMUSG00000016554,Eif3d,L8,,
ENSMUSG00000059796,Eif4a1,L8,TYPE_I,
ENSMUSG00000078812,Eif5a,L8,,
ENSMUSG00000063524,Eno1,L8,,
ENSMUSG00000031444,F10,L8,TYPE_I,TYPE_II
ENSMUSG00000046865,Fbl,L8,,
ENSMUSG00000059498,Fcgr3,L8,TYPE_I,TYPE_II
ENSMUSG00000070524,Fcrlb,L8,,
ENSMUSG00000051314,Ffar2,L8,TYPE_I,
ENSMUSG00000032643,Fhl3,L8,TYPE_I,
ENSMUSG00000026193,Fn1,L8,TYPE_I,TYPE_II
ENSMUSG00000022816,Fstl1,L8,,
ENSMUSG00000028671,Gale,L8,,
ENSMUSG00000057666,Gapdh,L8,,
ENSMUSG00000046623,Gjb4,L8,,
ENSMUSG00000042357,Gjb5,L8,,
ENSMUSG00000028480,Glipr2,L8,TYPE_I,TYPE_II
ENSMUSG00000021591,Glrx,L8,TYPE_I,TYPE_II
ENSMUSG00000048087,Gm4737,L8,TYPE_I,TYPE_II
ENSMUSG00000069355,Gm5152,L8,,
ENSMUSG00000035311,Gnptab,L8,TYPE_I,
ENSMUSG00000002658,Gtf2f1,L8,TYPE_I,
ENSMUSG00000020358,Hnrnpab,L8,,TYPE_II
ENSMUSG00000062867,Impdh2,L8,TYPE_I,TYPE_II
ENSMUSG00000063229,Ldha,L8,,
ENSMUSG00000079330,Lemd1,L8,,
ENSMUSG00000029674,Limk1,L8,,
ENSMUSG00000027134,Lpcat4,L8,,TYPE_II
ENSMUSG00000046908,Ltb4r1,L8,,TYPE_II
ENSMUSG00000058704,Memo1,L8,TYPE_I,
ENSMUSG00000006732,Mettl1,L8,,TYPE_II
ENSMUSG00000025227,Mfsd13a,L8,TYPE_I,
ENSMUSG00000033307,Mif,L8,,
ENSMUSG00000023903,Mmp25,L8,TYPE_I,TYPE_II
ENSMUSG00000022652,Morc1,L8,,
ENSMUSG00000039640,Mrpl12,L8,,
ENSMUSG00000024683,Mrpl16,L8,TYPE_I,
ENSMUSG00000029066,Mrpl20,L8,,
ENSMUSG00000028741,Mrto4,L8,TYPE_I,TYPE_II
ENSMUSG00000063011,Msln,L8,,
ENSMUSG00000021640,Naip1,L8,TYPE_I,
ENSMUSG00000020181,Nav3,L8,,
ENSMUSG00000001056,Nhp2,L8,,TYPE_II
ENSMUSG00000071078,Nr2c2ap,L8,,
ENSMUSG00000032014,Oaf,L8,TYPE_I,TYPE_II
ENSMUSG00000025364,Pa2g4,L8,TYPE_I,TYPE_II
ENSMUSG00000020277,Pfkl,L8,,TYPE_II
ENSMUSG00000011752,Pgam1,L8,,
ENSMUSG00000062070,Pgk1,L8,,
ENSMUSG00000034416,Pkd1l2,L8,,
ENSMUSG00000000776,Polr3d,L8,,
ENSMUSG00000056612,Ppp1r14b,L8,TYPE_I,TYPE_II
ENSMUSG00000109324,Prmt1,L8,,
ENSMUSG00000069744,Psmb3,L8,,
ENSMUSG00000005779,Psmb4,L8,TYPE_I,
ENSMUSG00000022193,Psmb5,L8,,
ENSMUSG00000018286,Psmb6,L8,,
ENSMUSG00000002102,Psmc3,L8,,
ENSMUSG00000025487,Psmd13,L8,,
ENSMUSG00000038975,Rabggtb,L8,,
ENSMUSG00000020372,Rack1,L8,,
ENSMUSG00000000740,Rpl13,L8,,
ENSMUSG00000059070,Rpl18,L8,,
ENSMUSG00000067274,Rplp0,L8,,
ENSMUSG00000090862,Rps13,L8,,
ENSMUSG00000044533,Rps2,L8,,
ENSMUSG00000040026,Saa3,L8,TYPE_I,TYPE_II
ENSMUSG00000040722,Scamp5,L8,TYPE_I,TYPE_II
ENSMUSG00000028843,Sh3bgrl3,L8,,
ENSMUSG00000022372,Sla,L8,TYPE_I,TYPE_II
ENSMUSG00000041920,Slc16a6,L8,TYPE_I,TYPE_II
ENSMUSG00000038963,Slco4a1,L8,TYPE_I,TYPE_II
ENSMUSG00000046997,Spsb4,L8,TYPE_I,TYPE_II
ENSMUSG00000038578,Susd1,L8,,
ENSMUSG00000045503,Sys1,L8,,
ENSMUSG00000053338,Tarm1,L8,TYPE_I,TYPE_II
ENSMUSG00000029664,Tfpi2,L8,,TYPE_II
ENSMUSG00000040152,Thbs1,L8,TYPE_I,TYPE_II
ENSMUSG00000047123,Ticam1,L8,,
ENSMUSG00000027076,Timm10,L8,TYPE_I,
ENSMUSG00000013701,Timm23,L8,TYPE_I,
ENSMUSG00000048007,Timm8a1,L8,,
ENSMUSG00000058569,Tmed9,L8,,
ENSMUSG00000053475,Tnfaip6,L8,,
ENSMUSG00000044162,Tnip3,L8,,TYPE_II
ENSMUSG00000002984,Tomm40,L8,,
ENSMUSG00000022570,Tsta3,L8,,
ENSMUSG00000024424,Ttc39c,L8,TYPE_I,
ENSMUSG00000001473,Tubb6,L8,TYPE_I,TYPE_II
ENSMUSG00000005575,Ube2m,L8,TYPE_I,
ENSMUSG00000021614,Vcan,L8,TYPE_I,TYPE_II
ENSMUSG00000069792,Wfdc17,L8,TYPE_I,
ENSMUSG00000051391,Ywhag,L8,TYPE_I,
ENSMUSG00000008036,Ap2s1,L9,,
ENSMUSG00000006589,Aprt,L9,TYPE_I,
ENSMUSG00000019987,Arg1,L9,TYPE_I,TYPE_II
ENSMUSG00000018585,Atox1,L9,,
ENSMUSG00000016252,Atp5e,L9,,
ENSMUSG00000006057,Atp5g1,L9,TYPE_I,
ENSMUSG00000038717,Atp5l,L9,,
ENSMUSG00000047721,Bola2,L9,TYPE_I,
ENSMUSG00000029761,Cald1,L9,TYPE_I,
ENSMUSG00000056201,Cfl1,L9,,
ENSMUSG00000030077,Chl1,L9,TYPE_I,
ENSMUSG00000000088,Cox5a,L9,,
ENSMUSG00000061518,Cox5b,L9,,
ENSMUSG00000035885,Cox8a,L9,,
ENSMUSG00000021131,Erh,L9,,TYPE_II
ENSMUSG00000018567,Gabarap,L9,,
ENSMUSG00000020766,Galk1,L9,,
ENSMUSG00000063412,Gm10131,L9,,TYPE_II
ENSMUSG00000038372,Gmds,L9,,TYPE_II
ENSMUSG00000063856,Gpx1,L9,TYPE_I,
ENSMUSG00000037894,H2afz,L9,TYPE_I,
ENSMUSG00000022367,Has2,L9,TYPE_I,TYPE_II
ENSMUSG00000020267,Hint1,L9,,
ENSMUSG00000074797,Itpa,L9,,
ENSMUSG00000010830,Kdelr3,L9,,
ENSMUSG00000060459,Kng2,L9,,
ENSMUSG00000031848,Lsm4,L9,,
ENSMUSG00000033845,Mrpl15,L9,,
ENSMUSG00000030879,Mrpl17,L9,,
ENSMUSG00000010406,Mrpl52,L9,TYPE_I,TYPE_II
ENSMUSG00000034932,Mrpl54,L9,TYPE_I,
ENSMUSG00000039431,Mtmr7,L9,,
ENSMUSG00000019579,Mydgf,L9,,
ENSMUSG00000033938,Ndufb7,L9,,
ENSMUSG00000022354,Ndufb9,L9,,
ENSMUSG00000024099,Ndufv2,L9,,
ENSMUSG00000037601,Nme1,L9,TYPE_I,TYPE_II
ENSMUSG00000032271,Nnmt,L9,TYPE_I,TYPE_II
ENSMUSG00000033099,Nol12,L9,TYPE_I,
ENSMUSG00000036992,Nxt1,L9,TYPE_I,
ENSMUSG00000029715,Pop7,L9,,
ENSMUSG00000032383,Ppib,L9,,
ENSMUSG00000021486,Prelid1,L9,,
ENSMUSG00000073565,Prr16,L9,,
ENSMUSG00000053746,Ptrh1,L9,TYPE_I,
ENSMUSG00000037805,Rpl10a,L9,TYPE_I,
ENSMUSG00000038900,Rpl12,L9,,TYPE_II
ENSMUSG00000012405,Rpl15,L9,,
ENSMUSG00000017404,Rpl19,L9,,
ENSMUSG00000063316,Rpl27,L9,,
ENSMUSG00000030432,Rpl28,L9,,
ENSMUSG00000079641,Rpl39,L9,TYPE_I,
ENSMUSG00000093674,Rpl41,L9,TYPE_I,
ENSMUSG00000062647,Rpl7a,L9,,
ENSMUSG00000007892,Rplp1,L9,,
ENSMUSG00000052146,Rps10,L9,,
ENSMUSG00000008668,Rps18,L9,,
ENSMUSG00000036781,Rps27l,L9,TYPE_I,
ENSMUSG00000006333,Rps9,L9,TYPE_I,TYPE_II
ENSMUSG00000032518,Rpsa,L9,TYPE_I,
ENSMUSG00000030298,Sec13,L9,,
ENSMUSG00000053317,Sec61b,L9,,
ENSMUSG00000078974,Sec61g,L9,,
ENSMUSG00000062345,Serpinb2,L9,TYPE_I,TYPE_II
ENSMUSG00000021474,Sfxn1,L9,TYPE_I,
ENSMUSG00000040824,Snrpd2,L9,,TYPE_II
ENSMUSG00000041355,Ssr2,L9,,
ENSMUSG00000002014,Ssr4,L9,,
ENSMUSG00000006095,Tbcb,L9,,
ENSMUSG00000055839,Tceb2,L9,,
ENSMUSG00000070394,Tmem256,L9,TYPE_I,
ENSMUSG00000022015,Tnfsf11,L9,,
ENSMUSG00000064179,Tnnt1,L9,,
ENSMUSG00000078713,Tomm5,L9,TYPE_I,TYPE_II
ENSMUSG00000023456,Tpi1,L9,TYPE_I,
ENSMUSG00000038462,Uqcrfs1,L9,,
ENSMUSG00000044894,Uqcrq,L9,,
ENSMUSG00000071528,Usmg5,L9,,
ENSMUSG00000016458,Wt1,L9,,
ENSMUSG00000030587,2200002D01Rik,L10,TYPE_I,
ENSMUSG00000041605,5730559C18Rik,L10,TYPE_I,TYPE_II
ENSMUSG00000031278,Acsl4,L10,,
ENSMUSG00000025473,Adam8,L10,,TYPE_II
ENSMUSG00000036545,Adamts2,L10,TYPE_I,
ENSMUSG00000044017,Adgrd1,L10,,
ENSMUSG00000000562,Adora3,L10,TYPE_I,TYPE_II
ENSMUSG00000015134,Aldh1a3,L10,TYPE_I,
ENSMUSG00000030695,Aldoa,L10,,
ENSMUSG00000032204,Aqp9,L10,TYPE_I,TYPE_II
ENSMUSG00000018770,Atp5g3,L10,,
ENSMUSG00000049946,BC030500,L10,,
ENSMUSG00000044165,Bcl2l15,L10,TYPE_I,
ENSMUSG00000030103,Bhlhe40,L10,TYPE_I,TYPE_II
ENSMUSG00000031963,Bmper,L10,,
ENSMUSG00000020547,Bzw2,L10,TYPE_I,TYPE_II
ENSMUSG00000091956,C2cd4b,L10,,
ENSMUSG00000034795,Ccdc122,L10,,
ENSMUSG00000031780,Ccl17,L10,TYPE_I,
ENSMUSG00000018927,Ccl6,L10,TYPE_I,TYPE_II
ENSMUSG00000019122,Ccl9,L10,TYPE_I,TYPE_II
ENSMUSG00000008845,Cd163,L10,,TYPE_II
ENSMUSG00000052212,Cd177,L10,,
ENSMUSG00000005087,Cd44,L10,TYPE_I,TYPE_II
ENSMUSG00000025351,Cd63,L10,TYPE_I,
ENSMUSG00000052435,Cebpe,L10,,
ENSMUSG00000064246,Chil1,L10,TYPE_I,
ENSMUSG00000056643,Chst13,L10,,
ENSMUSG00000004317,Clcn5,L10,TYPE_I,
ENSMUSG00000047230,Cldn2,L10,,
ENSMUSG00000000318,Clec10a,L10,TYPE_I,TYPE_II
ENSMUSG00000028111,Ctsk,L10,TYPE_I,TYPE_II
ENSMUSG00000060188,Cxcl17,L10,,
ENSMUSG00000047517,Dmbt1,L10,,
ENSMUSG00000000730,Dnmt3l,L10,TYPE_I,TYPE_II
ENSMUSG00000062148,Ear6,L10,TYPE_I,
ENSMUSG00000033730,Egr3,L10,,TYPE_II
ENSMUSG00000015766,Eps8,L10,TYPE_I,TYPE_II
ENSMUSG00000028128,F3,L10,TYPE_I,TYPE_II
ENSMUSG00000026579,F5,L10,,TYPE_II
ENSMUSG00000035095,Fam167a,L10,,
ENSMUSG00000000182,Fgf23,L10,,
ENSMUSG00000001555,Fkbp10,L10,,
ENSMUSG00000003355,Fkbp11,L10,,TYPE_II
ENSMUSG00000044042,Fmn1,L10,,TYPE_II
ENSMUSG00000025466,Fuom,L10,,
ENSMUSG00000055978,Fut2,L10,,
ENSMUSG00000033066,Gas7,L10,,TYPE_II
ENSMUSG00000050953,Gja1,L10,TYPE_I,TYPE_II
ENSMUSG00000096878,Gm21083,L10,,
ENSMUSG00000099762,Gm21149,L10,,
ENSMUSG00000026343,Gpr39,L10,,
ENSMUSG00000031910,Has3,L10,,
ENSMUSG00000004897,Hdgf,L10,TYPE_I,
ENSMUSG00000015217,Hmgb3,L10,,
ENSMUSG00000026675,Hsd17b7,L10,TYPE_I,TYPE_II
ENSMUSG00000024359,Hspa9,L10,TYPE_I,
ENSMUSG00000034997,Htr2a,L10,,
ENSMUSG00000017493,Igfbp4,L10,TYPE_I,TYPE_II
ENSMUSG00000031289,Il13ra2,L10,TYPE_I,
ENSMUSG00000074141,Il4i1,L10,TYPE_I,TYPE_II
ENSMUSG00000002319,Ipo4,L10,,
ENSMUSG00000026971,Itgb6,L10,,
ENSMUSG00000025321,Itgb8,L10,,TYPE_II
ENSMUSG00000038209,Itln1,L10,,
ENSMUSG00000026822,Lcn2,L10,TYPE_I,TYPE_II
ENSMUSG00000039252,Lgi2,L10,TYPE_I,
ENSMUSG00000034394,Lif,L10,,TYPE_II
ENSMUSG00000038668,Lpar1,L10,TYPE_I,TYPE_II
ENSMUSG00000032496,Ltf,L10,TYPE_I,
ENSMUSG00000044678,Ly6k,L10,,
ENSMUSG00000032688,Malt1,L10,TYPE_I,TYPE_II
ENSMUSG00000033352,Map2k4,L10,TYPE_I,
ENSMUSG00000011008,Mcoln2,L10,TYPE_I,TYPE_II
ENSMUSG00000019179,Mdh2,L10,,
ENSMUSG00000029061,Mmp23,L10,,
ENSMUSG00000043613,Mmp3,L10,,
ENSMUSG00000039956,Mrap,L10,,
ENSMUSG00000024436,Mrps18b,L10,,TYPE_II
ENSMUSG00000006517,Mvd,L10,TYPE_I,TYPE_II
ENSMUSG00000022346,Myc,L10,TYPE_I,TYPE_II
ENSMUSG00000026622,Nek2,L10,TYPE_I,
ENSMUSG00000026442,Nfasc,L10,,
ENSMUSG00000031917,Nip7,L10,,
ENSMUSG00000025869,Nop16,L10,TYPE_I,TYPE_II
ENSMUSG00000019320,Noxo1,L10,TYPE_I,
ENSMUSG00000021595,Nsun2,L10,,TYPE_II
ENSMUSG00000038463,Olfml2b,L10,TYPE_I,TYPE_II
ENSMUSG00000025130,P4hb,L10,,
ENSMUSG00000024713,Pcsk5,L10,,
ENSMUSG00000066632,Pgk1-rs7,L10,,
ENSMUSG00000025791,Pgm2,L10,TYPE_I,TYPE_II
ENSMUSG00000007946,Phox2a,L10,,
ENSMUSG00000026417,Pigr,L10,TYPE_I,
ENSMUSG00000036606,Plxnb2,L10,TYPE_I,
ENSMUSG00000021018,Polr2h,L10,,
ENSMUSG00000027317,Ppp1r14d,L10,TYPE_I,
ENSMUSG00000006014,Prg4,L10,TYPE_I,
ENSMUSG00000031445,Proz,L10,,
ENSMUSG00000050737,Ptges,L10,TYPE_I,TYPE_II
ENSMUSG00000043017,Ptgir,L10,TYPE_I,TYPE_II
ENSMUSG00000021062,Rab15,L10,TYPE_I,TYPE_II
ENSMUSG00000039191,Rbpj,L10,TYPE_I,TYPE_II
ENSMUSG00000030017,Reg3g,L10,TYPE_I,
ENSMUSG00000026475,Rgs16,L10,TYPE_I,TYPE_II
ENSMUSG00000043333,Rhbdl2,L10,,
ENSMUSG00000031438,Rnf128,L10,TYPE_I,TYPE_II
ENSMUSG00000110332,RP24-160I20.1,L10,,
ENSMUSG00000057863,Rpl36,L10,TYPE_I,
ENSMUSG00000063888,Rpl7l1,L10,TYPE_I,
ENSMUSG00000042306,S100a14,L10,,
ENSMUSG00000001025,S100a6,L10,TYPE_I,
ENSMUSG00000040364,Sec1,L10,,
ENSMUSG00000026582,Sele,L10,,
ENSMUSG00000026580,Selp,L10,TYPE_I,TYPE_II
ENSMUSG00000079012,Serpina3m,L10,TYPE_I,
ENSMUSG00000021795,Sftpd,L10,,
ENSMUSG00000020534,Shmt1,L10,,
ENSMUSG00000001095,Slc13a2,L10,,
ENSMUSG00000032902,Slc16a1,L10,TYPE_I,TYPE_II
ENSMUSG00000023393,Slc17a9,L10,,
ENSMUSG00000020651,Slc26a4,L10,TYPE_I,
ENSMUSG00000031596,Slc7a2,L10,TYPE_I,TYPE_II
ENSMUSG00000042821,Snai1,L10,,
ENSMUSG00000028007,Snx7,L10,TYPE_I,TYPE_II
ENSMUSG00000000567,Sox9,L10,TYPE_I,
ENSMUSG00000024215,Spdef,L10,,
ENSMUSG00000073208,Speer4c,L10,,
ENSMUSG00000006442,Srm,L10,TYPE_I,TYPE_II
ENSMUSG00000032038,St3gal4,L10,,TYPE_II
ENSMUSG00000015652,Steap1,L10,TYPE_I,TYPE_II
ENSMUSG00000022218,Tgm1,L10,,TYPE_II
ENSMUSG00000023800,Tiam2,L10,TYPE_I,
ENSMUSG00000021957,Tkt,L10,TYPE_I,
ENSMUSG00000030650,Tmc5,L10,,
ENSMUSG00000029829,Tmem213,L10,,
ENSMUSG00000028364,Tnc,L10,,TYPE_II
ENSMUSG00000035678,Tnfsf9,L10,TYPE_I,TYPE_II
ENSMUSG00000038335,Tsr1,L10,TYPE_I,TYPE_II
ENSMUSG00000022111,Uchl3,L10,,TYPE_II
ENSMUSG00000037568,Vash2,L10,TYPE_I,TYPE_II
ENSMUSG00000022479,Vdr,L10,TYPE_I,TYPE_II
ENSMUSG00000014243,Zswim7,L10,TYPE_I,
ENSMUSG00000068099,1500009C09Rik,L11,,
ENSMUSG00000095620,2010005H15Rik,L11,TYPE_I,TYPE_II
ENSMUSG00000004668,Abca13,L11,,
ENSMUSG00000025236,Adpgk,L11,,
ENSMUSG00000028527,Ak4,L11,,TYPE_II
ENSMUSG00000024774,Ankrd22,L11,,
ENSMUSG00000090698,Apold1,L11,,
ENSMUSG00000020123,Avpr1a,L11,,
ENSMUSG00000071561,BC100530,L11,TYPE_I,TYPE_II
ENSMUSG00000079594,BC117090,L11,,
ENSMUSG00000031872,Bean1,L11,TYPE_I,
ENSMUSG00000003452,Bicd1,L11,,
ENSMUSG00000015968,Cacna1d,L11,TYPE_I,
